game,turn,player,move,land_square,nodes,time_ms,pruning_ratio,score_p0,score_p1,heuristic,depth,game_phase,suboptimal,score_deviation,score_loss,operator_blind
0,0,0,"[[6, 1], [5, 0]]","[5, 0]",21,12.7194,0.625,0,0,piece_count,2,opening,False,0,0.0,False
0,1,1,"[[1, 0], [2, 1]]","[2, 1]",22,3.7541,0.6071,0,0,piece_count,2,opening,False,0.0,0.0,True
0,2,0,"[[5, 0], [4, 1]]","[4, 1]",24,8.6403,0.625,0,1.0,piece_count,2,opening,False,0.0,0.0,False
0,3,1,"[[0, 1], [1, 0]]","[1, 0]",25,8.1811,0.6094,0,1.0,piece_count,2,opening,False,0.0,0.0,True
0,4,0,"[[4, 1], [3, 0]]","[3, 0]",24,4.9503,0.6667,0,1.0,piece_count,2,opening,False,0.0,0.0,False
0,5,1,"[[1, 4], [2, 3]]","[2, 3]",19,3.3836,0.6042,0,1.0,piece_count,2,opening,False,0.0,0.0,True
0,6,0,"[[6, 3], [5, 2]]","[5, 2]",21,4.2996,0.625,0,1.0,piece_count,2,opening,False,0.0,0.0,False
0,7,1,"[[0, 3], [1, 4]]","[1, 4]",23,5.9702,0.5893,0,1.0,piece_count,2,opening,False,0.0,0.0,True
0,8,0,"[[5, 2], [4, 1]]","[4, 1]",24,7.4298,0.6667,0,1.0,piece_count,2,opening,False,0.0,0.0,False
0,9,1,"[[1, 4], [2, 5]]","[2, 5]",20,6.0437,0.5833,0,1.0,piece_count,2,opening,False,0.0,0.0,True
0,10,0,"[[6, 5], [5, 4]]","[5, 4]",24,7.3924,0.625,0,1.0,piece_count,2,opening,True,0,0.0,False
0,11,1,"[[0, 5], [1, 4]]","[1, 4]",24,7.3326,0.5714,0,1.0,piece_count,2,opening,False,0.0,0.0,True
0,12,0,"[[5, 4], [4, 3]]","[4, 3]",27,7.462,0.6625,0,1.0,piece_count,2,opening,False,0.0,0.0,False
0,13,1,"[[1, 6], [2, 7]]","[2, 7]",22,3.6983,0.5417,0,1.0,piece_count,2,opening,False,0.0,0.0,True
0,14,0,"[[6, 7], [5, 6]]","[5, 6]",27,4.55,0.6625,0,31.0,piece_count,2,opening,False,0.0,0.0,False
0,15,1,"[[0, 7], [1, 6]]","[1, 6]",26,7.7953,0.5357,0,31.0,piece_count,2,opening,True,0.0,0.0,True
0,16,0,"[[5, 6], [4, 5]]","[4, 5]",30,9.3987,0.6875,0,31.0,piece_count,2,opening,False,0.0,0.0,False
0,17,1,"[[2, 5], [3, 6]]","[3, 6]",24,6.6049,0.5,0,31.0,piece_count,2,opening,False,0.0,0.0,False
0,18,0,"[[4, 1], [3, 2]]","[3, 2]",25,7.3895,0.7159,0,112.0,piece_count,2,opening,False,0.0,0.0,False
0,19,1,"[[3, 6], [5, 4]]","[5, 4]",21,5.9595,0.0,0,112.0,piece_count,2,opening,False,0.0,0.0,False
0,20,0,"[[7, 0], [6, 1]]","[6, 1]",19,5.358,0.7031,0,139.0,piece_count,2,midgame,True,0,0.0,False
0,21,1,"[[2, 3], [4, 1]]","[4, 1]",11,2.9886,0.0,0,139.0,piece_count,2,midgame,False,0.0,0.0,False
0,22,0,"[[4, 3], [3, 4]]","[3, 4]",28,8.8503,0.6111,0,153.0,piece_count,2,midgame,False,0.0,0.0,False
0,23,1,"[[1, 4], [2, 3]]","[2, 3]",29,6.0289,0.6375,0,153.0,piece_count,2,midgame,False,0.0,0.0,True
0,24,0,"[[3, 4], [2, 5]]","[2, 5]",17,3.2394,0.7344,0,153.0,piece_count,2,midgame,False,0.0,0.0,False
0,25,1,"[[1, 6], [3, 4]]","[3, 4]",9,2.2342,0.0,0,153.0,piece_count,2,midgame,True,22.0,0.0,False
0,26,0,"[[6, 1], [5, 0]]","[5, 0]",22,5.7614,0.6071,0,175.0,piece_count,2,midgame,False,0.0,0.0,False
0,27,1,"[[2, 1], [3, 2]]","[3, 2]",23,4.5581,0.6406,0,175.0,piece_count,2,midgame,False,0.0,0.0,False
0,28,0,"[[3, 0], [2, 1]]","[2, 1]",15,2.6009,0.7321,0,199.0,piece_count,2,midgame,False,0.0,0.0,False
0,29,1,"[[1, 2], [3, 0]]","[3, 0]",8,1.1075,0.0,0,199.0,piece_count,2,midgame,False,0.0,0.0,False
0,30,0,"[[7, 2], [6, 1]]","[6, 1]",20,3.2449,0.5833,0,212.0,piece_count,2,midgame,True,0,0.0,False
0,31,1,"[[1, 0], [2, 1]]","[2, 1]",21,3.4118,0.6719,0,212.0,piece_count,2,midgame,False,0.0,0.0,True
0,32,0,"[[7, 4], [6, 5]]","[6, 5]",16,2.1534,0.6,0,213.0,piece_count,2,midgame,False,0.0,0.0,False
0,33,1,"[[3, 4], [4, 3]]","[4, 3]",15,2.0161,0.6875,0,213.0,piece_count,2,midgame,False,0.0,0.0,True
0,34,0,"[[6, 5], [5, 6]]","[5, 6]",13,1.7107,0.4583,0,213.0,piece_count,2,midgame,False,0.0,0.0,False
0,35,1,"[[2, 3], [3, 4]]","[3, 4]",17,2.3122,0.6458,0,213.0,piece_count,2,midgame,True,0.0,0.0,True
0,36,0,"[[5, 6], [4, 7]]","[4, 7]",16,2.1391,0.6,0,213.0,piece_count,2,midgame,False,0.0,0.0,False
0,37,1,"[[3, 4], [4, 5]]","[4, 5]",16,2.6455,0.6667,0,213.0,piece_count,2,midgame,False,0.0,0.0,False
0,38,0,"[[4, 7], [3, 6]]","[3, 6]",13,1.7312,0.5938,0,213.0,piece_count,2,midgame,False,0.0,0.0,False
0,39,1,"[[4, 1], [5, 2]]","[5, 2]",14,1.8761,0.65,0,213.0,piece_count,2,midgame,False,0.0,0.0,True
0,40,0,"[[3, 6], [2, 5]]","[2, 5]",9,1.133,0.7188,0,241.0,piece_count,2,midgame,True,0,0.0,False
0,41,1,"[[5, 2], [7, 0]]","[7, 0]",7,0.9341,0.125,0,241.0,piece_count,2,midgame,False,0.0,0.0,False
0,42,0,"[[2, 5], [1, 4]]","[1, 4]",18,2.315,0.55,0,260.0,piece_count,2,midgame,False,0.0,0.0,False
0,43,1,"[[2, 7], [3, 6]]","[3, 6]",21,4.554,0.6719,0,260.0,piece_count,2,midgame,False,0.0,0.0,False
0,44,0,"[[1, 4], [0, 3]]","[0, 3]",18,3.9308,0.55,0,260.0,piece_count,2,midgame,False,0.0,0.0,False
0,45,1,"[[3, 0], [4, 1]]","[4, 1]",20,4.8525,0.6875,0,260.0,piece_count,2,midgame,True,143.0,143.0,True
0,46,0,"[[0, 3], [1, 2]]","[1, 2]",16,3.8042,0.5,0,261.0,piece_count,2,midgame,False,0.0,0.0,False
0,47,1,"[[2, 1], [3, 0]]","[3, 0]",22,5.3754,0.6562,0,261.0,piece_count,2,midgame,False,0.0,0.0,True
0,48,0,"[[1, 2], [0, 1]]","[0, 1]",19,3.8226,0.6042,0,261.0,piece_count,2,midgame,False,0.0,0.0,True
0,49,1,"[[3, 6], [4, 7]]","[4, 7]",18,4.379,0.6786,0,261.0,piece_count,2,midgame,False,0.0,0.0,True
0,50,0,"[[0, 1], [1, 0]]","[1, 0]",15,3.5355,0.5312,0,291.0,piece_count,2,endgame,True,0,0.0,True
0,51,1,"[[4, 1], [5, 2]]","[5, 2]",19,4.6318,0.6607,0,291.0,piece_count,2,endgame,False,0.0,0.0,True
0,52,0,"[[1, 0], [0, 1]]","[0, 1]",19,4.488,0.525,0,317.0,piece_count,2,endgame,False,0.0,0.0,False
0,53,1,"[[3, 0], [4, 1]]","[4, 1]",22,4.5927,0.6944,0,317.0,piece_count,2,endgame,False,0.0,0.0,True
0,54,0,"[[0, 1], [1, 0]]","[1, 0]",15,3.6502,0.5312,0,318.0,piece_count,2,endgame,False,0.0,0.0,True
0,55,1,"[[4, 5], [5, 6]]","[5, 6]",18,4.4065,0.6786,0,318.0,piece_count,2,endgame,True,100.0,0.0,True
0,56,0,"[[1, 0], [0, 1]]","[0, 1]",15,3.5157,0.5312,0,418.0,piece_count,2,endgame,False,0.0,0.0,False
0,57,1,"[[5, 2], [6, 1]]","[6, 1]",18,4.3635,0.6786,0,418.0,piece_count,2,endgame,False,0.0,0.0,True
0,58,0,"[[0, 1], [1, 0]]","[1, 0]",26,3.3941,0.1875,0,418.0,piece_count,2,endgame,False,0.0,0.0,True
0,59,1,"[[6, 1], [7, 2]]","[7, 2]",22,2.95,0.6071,0,418.0,piece_count,2,endgame,False,0.0,0.0,False
0,60,0,"[[1, 0], [0, 1]]","[0, 1]",17,2.1822,0.4688,0,444.0,piece_count,2,endgame,True,0,0.0,False
0,61,1,"[[4, 1], [5, 2]]","[5, 2]",23,3.0754,0.6806,0,444.0,piece_count,2,endgame,False,0.0,0.0,True
0,62,0,"[[0, 1], [1, 0]]","[1, 0]",20,3.6118,0.5,0,460.0,piece_count,2,endgame,False,0.0,0.0,True
0,63,1,"[[5, 2], [6, 1]]","[6, 1]",25,3.4006,0.6875,0,460.0,piece_count,2,endgame,False,0.0,0.0,True
0,64,0,"[[1, 0], [0, 1]]","[0, 1]",17,4.1761,0.575,0,460.0,piece_count,2,endgame,False,0.0,0.0,False
0,65,1,"[[4, 3], [5, 2]]","[5, 2]",19,4.6883,0.6607,0,460.0,piece_count,2,endgame,True,0.0,0.0,True
0,66,0,"[[0, 1], [1, 0]]","[1, 0]",18,4.2784,0.55,0,460.0,piece_count,2,endgame,False,0.0,0.0,True
0,67,1,"[[3, 2], [4, 3]]","[4, 3]",21,5.5482,0.6719,0,460.0,piece_count,2,endgame,False,0.0,0.0,False
0,68,0,"[[1, 0], [0, 1]]","[0, 1]",16,3.7816,0.6,0,604.0,piece_count,2,endgame,False,0.0,0.0,False
0,69,1,"[[5, 2], [6, 3]]","[6, 3]",17,4.133,0.6458,0,604.0,piece_count,2,endgame,False,0.0,0.0,False
0,70,0,"[[0, 1], [1, 0]]","[1, 0]",26,6.1975,0.35,0,725.0,piece_count,2,endgame,False,0,0.0,True
0,71,1,"[[6, 3], [7, 4]]","[7, 4]",19,4.7243,0.525,0,725.0,piece_count,2,endgame,False,0.0,0.0,True
0,72,0,"[[1, 0], [0, 1]]","[0, 1]",18,4.3478,0.55,0,725.0,piece_count,2,endgame,False,0.0,0.0,False
0,73,1,"[[4, 3], [5, 2]]","[5, 2]",21,5.1529,0.6719,0,725.0,piece_count,2,endgame,False,0.0,0.0,True
0,74,0,"[[0, 1], [1, 0]]","[1, 0]",18,4.2586,0.55,0,725.0,piece_count,2,endgame,False,0.0,0.0,True
0,75,1,"[[5, 2], [6, 3]]","[6, 3]",21,5.1589,0.6719,0,725.0,piece_count,2,endgame,True,144.0,0.0,False
0,76,0,"[[1, 0], [0, 1]]","[0, 1]",14,3.2251,0.65,0,869.0,piece_count,2,endgame,False,0.0,0.0,False
0,77,1,"[[5, 6], [6, 5]]","[6, 5]",12,3.022,0.625,0,869.0,piece_count,2,endgame,False,0.0,0.0,True
0,78,0,"[[0, 1], [1, 0]]","[1, 0]",9,1.121,0.7188,0,869.0,piece_count,2,endgame,False,0.0,0.0,True
0,79,1,"[[4, 7], [5, 6]]","[5, 6]",6,0.7503,0.25,0,869.0,piece_count,2,endgame,False,0.0,0.0,False
0,80,0,"[[1, 0], [0, 1]]","[0, 1]",9,1.1215,0.7188,0,869.0,piece_count,2,endgame,False,0,0.0,False
0,81,1,"[[5, 6], [6, 7]]","[6, 7]",5,0.598,0.375,0,869.0,piece_count,2,endgame,False,0.0,0.0,False
0,82,0,"[[0, 1], [1, 0]]","[1, 0]",4,0.4632,0.8333,0,899.0,piece_count,2,endgame,False,0.0,0.0,True
1,0,0,"[[6, 1], [5, 0]]","[5, 0]",21,3.5622,0.625,0,0,piece_count,2,opening,False,0,0.0,False
1,1,1,"[[1, 0], [2, 1]]","[2, 1]",22,6.8402,0.6071,0,0,piece_count,2,opening,False,0.0,0.0,True
1,2,0,"[[5, 0], [4, 1]]","[4, 1]",24,7.441,0.625,0,1.0,piece_count,2,opening,False,0.0,0.0,False
1,3,1,"[[0, 1], [1, 0]]","[1, 0]",25,7.6964,0.6094,0,1.0,piece_count,2,opening,False,0.0,0.0,True
1,4,0,"[[4, 1], [3, 0]]","[3, 0]",24,7.4403,0.6667,0,1.0,piece_count,2,opening,False,0.0,0.0,False
1,5,1,"[[1, 4], [2, 3]]","[2, 3]",19,5.7762,0.6042,0,1.0,piece_count,2,opening,False,0.0,0.0,True
1,6,0,"[[6, 3], [5, 2]]","[5, 2]",21,6.5637,0.625,0,1.0,piece_count,2,opening,False,0.0,0.0,False
1,7,1,"[[0, 3], [1, 4]]","[1, 4]",23,7.0813,0.5893,0,1.0,piece_count,2,opening,False,0.0,0.0,True
1,8,0,"[[5, 2], [4, 1]]","[4, 1]",24,7.477,0.6667,0,1.0,piece_count,2,opening,False,0.0,0.0,False
1,9,1,"[[1, 4], [2, 5]]","[2, 5]",20,6.0492,0.5833,0,1.0,piece_count,2,opening,False,0.0,0.0,True
1,10,0,"[[6, 5], [5, 4]]","[5, 4]",24,7.4415,0.625,0,1.0,piece_count,2,opening,True,0,0.0,False
1,11,1,"[[0, 5], [1, 4]]","[1, 4]",24,7.3192,0.5714,0,1.0,piece_count,2,opening,False,0.0,0.0,True
1,12,0,"[[5, 4], [4, 3]]","[4, 3]",27,8.3234,0.6625,0,1.0,piece_count,2,opening,False,0.0,0.0,False
1,13,1,"[[1, 6], [2, 7]]","[2, 7]",22,6.633,0.5417,0,1.0,piece_count,2,opening,False,0.0,0.0,True
1,14,0,"[[6, 7], [5, 6]]","[5, 6]",27,8.2512,0.6625,0,31.0,piece_count,2,opening,False,0.0,0.0,False
1,15,1,"[[0, 7], [1, 6]]","[1, 6]",26,4.379,0.5357,0,31.0,piece_count,2,opening,True,0.0,0.0,True
1,16,0,"[[5, 6], [4, 5]]","[4, 5]",30,4.9708,0.6875,0,31.0,piece_count,2,opening,False,0.0,0.0,False
1,17,1,"[[2, 5], [3, 6]]","[3, 6]",24,6.3574,0.5,0,31.0,piece_count,2,opening,False,0.0,0.0,False
1,18,0,"[[4, 1], [3, 2]]","[3, 2]",25,7.3774,0.7159,0,112.0,piece_count,2,opening,False,0.0,0.0,False
1,19,1,"[[3, 6], [5, 4]]","[5, 4]",21,5.9528,0.0,0,112.0,piece_count,2,opening,False,0.0,0.0,False
1,20,0,"[[7, 0], [6, 1]]","[6, 1]",19,5.3494,0.7031,0,139.0,piece_count,2,midgame,True,0,0.0,False
1,21,1,"[[2, 3], [4, 1]]","[4, 1]",11,2.9886,0.0,0,139.0,piece_count,2,midgame,False,0.0,0.0,False
1,22,0,"[[4, 3], [3, 4]]","[3, 4]",28,7.6652,0.6111,0,153.0,piece_count,2,midgame,False,0.0,0.0,False
1,23,1,"[[1, 4], [2, 3]]","[2, 3]",29,4.3762,0.6375,0,153.0,piece_count,2,midgame,False,0.0,0.0,True
1,24,0,"[[3, 4], [2, 5]]","[2, 5]",17,2.4645,0.7344,0,153.0,piece_count,2,midgame,False,0.0,0.0,False
1,25,1,"[[1, 6], [3, 4]]","[3, 4]",9,1.2598,0.0,0,153.0,piece_count,2,midgame,True,22.0,0.0,False
1,26,0,"[[6, 1], [5, 0]]","[5, 0]",22,3.2866,0.6071,0,175.0,piece_count,2,midgame,False,0.0,0.0,False
1,27,1,"[[2, 1], [3, 2]]","[3, 2]",23,3.3691,0.6406,0,175.0,piece_count,2,midgame,False,0.0,0.0,False
1,28,0,"[[3, 0], [2, 1]]","[2, 1]",15,2.111,0.7321,0,199.0,piece_count,2,midgame,False,0.0,0.0,False
1,29,1,"[[1, 2], [3, 0]]","[3, 0]",8,1.0657,0.0,0,199.0,piece_count,2,midgame,False,0.0,0.0,False
1,30,0,"[[7, 2], [6, 1]]","[6, 1]",20,2.7297,0.5833,0,212.0,piece_count,2,midgame,True,0,0.0,False
1,31,1,"[[1, 0], [2, 1]]","[2, 1]",21,3.4604,0.6719,0,212.0,piece_count,2,midgame,False,0.0,0.0,True
1,32,0,"[[7, 4], [6, 5]]","[6, 5]",16,3.8583,0.6,0,213.0,piece_count,2,midgame,False,0.0,0.0,False
1,33,1,"[[3, 4], [4, 3]]","[4, 3]",15,3.6645,0.6875,0,213.0,piece_count,2,midgame,False,0.0,0.0,True
1,34,0,"[[6, 5], [5, 6]]","[5, 6]",13,3.4056,0.4583,0,213.0,piece_count,2,midgame,False,0.0,0.0,False
1,35,1,"[[2, 3], [3, 4]]","[3, 4]",17,4.2138,0.6458,0,213.0,piece_count,2,midgame,True,0.0,0.0,True
1,36,0,"[[5, 6], [4, 7]]","[4, 7]",16,3.8822,0.6,0,213.0,piece_count,2,midgame,False,0.0,0.0,False
1,37,1,"[[3, 4], [4, 5]]","[4, 5]",16,3.1176,0.6667,0,213.0,piece_count,2,midgame,False,0.0,0.0,False
1,38,0,"[[4, 7], [3, 6]]","[3, 6]",13,1.7347,0.5938,0,213.0,piece_count,2,midgame,False,0.0,0.0,False
1,39,1,"[[4, 1], [5, 2]]","[5, 2]",14,1.8888,0.65,0,213.0,piece_count,2,midgame,False,0.0,0.0,True
1,40,0,"[[3, 6], [2, 5]]","[2, 5]",9,1.1427,0.7188,0,241.0,piece_count,2,midgame,True,0,0.0,False
1,41,1,"[[5, 2], [7, 0]]","[7, 0]",7,0.8752,0.125,0,241.0,piece_count,2,midgame,False,0.0,0.0,False
1,42,0,"[[2, 5], [1, 4]]","[1, 4]",18,2.3143,0.55,0,260.0,piece_count,2,midgame,False,0.0,0.0,False
1,43,1,"[[2, 7], [3, 6]]","[3, 6]",21,3.2928,0.6719,0,260.0,piece_count,2,midgame,False,0.0,0.0,False
1,44,0,"[[1, 4], [0, 3]]","[0, 3]",18,4.204,0.55,0,260.0,piece_count,2,midgame,False,0.0,0.0,False
1,45,1,"[[3, 0], [4, 1]]","[4, 1]",20,4.8425,0.6875,0,260.0,piece_count,2,midgame,True,143.0,143.0,True
